method,diskCount,executionTime,solutionHeight,expandedNodes,frontierNodes,heuristic
HG,7,0.02435979999427218,386,438,875,FHF
HG,7,0.15051130000210833,668,1004,2007,SHF
HG,7,0.11788190000515897,691,1942,3882,THF
HG,7,0.022312600005534478,386,438,875,FHF
HG,7,0.1495582000061404,668,1004,2007,SHF
HG,7,0.10047789999225643,691,1942,3882,THF
HG,7,0.017513800004962832,386,438,875,FHF
HG,7,0.14886370000021998,668,1004,2007,SHF
HG,7,0.08993839999311604,691,1942,3882,THF
HG,7,0.01654189999680966,386,438,875,FHF
HG,7,0.1404276000102982,668,1004,2007,SHF
HG,7,0.09930200000235345,691,1942,3882,THF
HG,7,0.01884480001172051,386,438,875,FHF
HG,7,0.17956049999338575,668,1004,2007,SHF
HG,7,0.10354660000302829,691,1942,3882,THF
HG,7,0.02233459999843035,386,438,875,FHF
HG,7,0.17909299999882933,668,1004,2007,SHF
HG,7,0.11978449999878649,691,1942,3882,THF
HG,7,0.020606399993994273,386,438,875,FHF
HG,7,0.15021720000368077,668,1004,2007,SHF
HG,7,0.09121489999233745,691,1942,3882,THF
HG,7,0.027234399996814318,386,438,875,FHF
HG,7,0.19528110000828747,668,1004,2007,SHF
HG,7,0.09519179999188054,691,1942,3882,THF
HG,7,0.02318070000910666,386,438,875,FHF
HG,7,0.15624560001015197,668,1004,2007,SHF
HG,7,0.1060832999937702,691,1942,3882,THF
HG,7,0.0233754999935627,386,438,875,FHF
HG,7,0.17382860000361688,668,1004,2007,SHF
HG,7,0.0935516000026837,691,1942,3882,THF
HG,5,0.001987399999052286,47,53,105,FHF
HG,5,0.0053275000100256875,74,94,187,SHF
HG,5,0.011963100012508221,81,163,324,THF
HG,5,0.003370700011146255,47,53,105,FHF
HG,5,0.006120399993960746,74,94,187,SHF
HG,5,0.009453699996811338,81,163,324,THF
HG,5,0.0038271999947028235,47,53,105,FHF
HG,5,0.0031826999911572784,74,94,187,SHF
HG,5,0.00630280000041239,81,163,324,THF
HG,5,0.0016728000045986846,47,53,105,FHF
HG,5,0.0067008999903919175,74,94,187,SHF
HG,5,0.013174599997000769,81,163,324,THF
HG,5,0.002642899999045767,47,53,105,FHF
HG,5,0.003557200005161576,74,94,187,SHF
HG,5,0.006369900002027862,81,163,324,THF
HG,5,0.002150399988749996,47,53,105,FHF
HG,5,0.005942700008745305,74,94,187,SHF
HG,5,0.006764900012058206,81,163,324,THF
HG,5,0.00426109999534674,47,53,105,FHF
HG,5,0.005385500000556931,74,94,187,SHF
HG,5,0.010956900005112402,81,163,324,THF
HG,5,0.003110200006631203,47,53,105,FHF
HG,5,0.006562899987329729,74,94,187,SHF
HG,5,0.010792599990963936,81,163,324,THF
HG,5,0.0031395999976666644,47,53,105,FHF
HG,5,0.005553800001507625,74,94,187,SHF
HG,5,0.009729199999128468,81,163,324,THF
HG,5,0.003325600002426654,47,53,105,FHF
HG,5,0.005792900003143586,74,94,187,SHF
HG,5,0.01264320001064334,81,163,324,THF
HG,5,0.002609400005894713,47,53,105,FHF
HG,5,0.004639699996914715,74,94,187,SHF
HG,5,0.007388300000457093,81,163,324,THF
HG,3,0.0005411000020103529,7,7,13,FHF
HG,3,0.0006345000001601875,8,8,15,SHF
HG,3,0.0005889999883947894,9,10,19,THF
HG,3,0.0003100000030826777,7,7,13,FHF
HG,3,0.0005566999898292124,8,8,15,SHF
HG,3,0.0004332999960752204,9,10,19,THF
HG,3,0.0004562999965855852,7,7,13,FHF
HG,3,0.0007773999968776479,8,8,15,SHF
HG,3,0.0006181000062497333,9,10,19,THF
HG,3,0.0004034000012325123,7,7,13,FHF
HG,3,0.001363799994578585,8,8,15,SHF
HG,3,0.0006377999961841851,9,10,19,THF
HG,3,0.0002982000005431473,7,7,13,FHF
HG,3,0.00036920000275131315,8,8,15,SHF
HG,3,0.00048219999007415026,9,10,19,THF
HG,3,0.00047649999032728374,7,7,13,FHF
HG,3,0.0005449000018415973,8,8,15,SHF
HG,3,0.0005147000047145411,9,10,19,THF
HG,3,0.00032970000756904483,7,7,13,FHF
HG,3,0.00036210000689607114,8,8,15,SHF
HG,3,0.0006202999938977882,9,10,19,THF
HG,3,0.0003963999915868044,7,7,13,FHF
HG,3,0.0006178000039653853,8,8,15,SHF
HG,3,0.0005655999993905425,9,10,19,THF
HG,3,0.00026250000519212335,7,7,13,FHF
HG,3,0.0004347000067355111,8,8,15,SHF
HG,3,0.001377299995510839,9,10,19,THF
HG,3,0.0009283999970648438,7,7,13,FHF
HG,3,0.0007577999931527302,8,8,15,SHF
HG,3,0.0004993000038666651,9,10,19,THF
