method,diskCount,executionTime,solutionHeight,expandedNodes,frontierNodes,heuristic
HL,7,0.031974500001524575,718,1016,2031,FHF
HL,7,0.027183999991393648,559,605,1209,SHF
HL,7,0.02813619999506045,547,609,1217,THF
HL,7,0.03763469999830704,718,1016,2031,FHF
HL,7,0.02341139999043662,559,605,1209,SHF
HL,7,0.031195400006254204,547,609,1217,THF
HL,7,0.0345110000052955,718,1016,2031,FHF
HL,7,0.027270900012808852,559,605,1209,SHF
HL,7,0.022998799991910346,547,609,1217,THF
HL,7,0.039712799989501946,718,1016,2031,FHF
HL,7,0.055810700010624714,559,605,1209,SHF
HL,7,0.02324340000632219,547,609,1217,THF
HL,7,0.03200749999086838,718,1016,2031,FHF
HL,7,0.027891599995200522,559,605,1209,SHF
HL,7,0.027182699996046722,547,609,1217,THF
HL,7,0.03993730001093354,718,1016,2031,FHF
HL,7,0.060292299996945076,559,605,1209,SHF
HL,7,0.02983860000676941,547,609,1217,THF
HL,7,0.03326490000472404,718,1016,2031,FHF
HL,7,0.052082900001551025,559,605,1209,SHF
HL,7,0.03120409999974072,547,609,1217,THF
HL,7,0.04332889999204781,718,1016,2031,FHF
HL,7,0.0296336000028532,559,605,1209,SHF
HL,7,0.028123199997935444,547,609,1217,THF
HL,7,0.03492049999476876,718,1016,2031,FHF
HL,7,0.03168290000758134,559,605,1209,SHF
HL,7,0.028175900006317534,547,609,1217,THF
HL,7,0.04029100001207553,718,1016,2031,FHF
HL,7,0.056075100001180544,559,605,1209,SHF
HL,7,0.03141380001034122,547,609,1217,THF
HL,5,0.004239300003973767,85,119,237,FHF
HL,5,0.005200899991905317,97,107,213,SHF
HL,5,0.006656400000792928,95,109,217,THF
HL,5,0.005172500008484349,85,119,237,FHF
HL,5,0.0050325000047450885,97,107,213,SHF
HL,5,0.004759799994644709,95,109,217,THF
HL,5,0.0036999000003561378,85,119,237,FHF
HL,5,0.006377300000167452,97,107,213,SHF
HL,5,0.007422599999699742,95,109,217,THF
HL,5,0.00373359999503009,85,119,237,FHF
HL,5,0.0036318000056780875,97,107,213,SHF
HL,5,0.005927000005613081,95,109,217,THF
HL,5,0.006760399992344901,85,119,237,FHF
HL,5,0.004276099993148819,97,107,213,SHF
HL,5,0.006323199995676987,95,109,217,THF
HL,5,0.0032370999979320914,85,119,237,FHF
HL,5,0.0034349999914411455,97,107,213,SHF
HL,5,0.0036567000061040744,95,109,217,THF
HL,5,0.004844100010814145,85,119,237,FHF
HL,5,0.006532699990202673,97,107,213,SHF
HL,5,0.005200500003411435,95,109,217,THF
HL,5,0.004872699995758012,85,119,237,FHF
HL,5,0.006136800002423115,97,107,213,SHF
HL,5,0.0036447000020416453,95,109,217,THF
HL,5,0.00453370000468567,85,119,237,FHF
HL,5,0.005247399996733293,97,107,213,SHF
HL,5,0.00676499999826774,95,109,217,THF
HL,5,0.004610999996657483,85,119,237,FHF
HL,5,0.005265600004349835,97,107,213,SHF
HL,5,0.003823399994871579,95,109,217,THF
HL,5,0.004876600010902621,85,119,237,FHF
HL,5,0.0031245999998645857,97,107,213,SHF
HL,5,0.006331999989924952,95,109,217,THF
HL,3,0.0006747000006726012,15,18,35,FHF
HL,3,0.0004951000009896234,9,9,18,SHF
HL,3,0.00048650000826455653,9,9,18,THF
HL,3,0.0009582999919075519,15,18,35,FHF
HL,3,0.0004687999899033457,9,9,18,SHF
HL,3,0.0005116000102134421,9,9,18,THF
HL,3,0.0006154000002425164,15,18,35,FHF
HL,3,0.0003271000023232773,9,9,18,SHF
HL,3,0.00038899999344721437,9,9,18,THF
HL,3,0.0005804999964311719,15,18,35,FHF
HL,3,0.0004732000088552013,9,9,18,SHF
HL,3,0.0005548000044655055,9,9,18,THF
HL,3,0.0006952999974600971,15,18,35,FHF
HL,3,0.0005327999970177189,9,9,18,SHF
HL,3,0.0005231999966781586,9,9,18,THF
HL,3,0.00155570000060834,15,18,35,FHF
HL,3,0.0005249999958323315,9,9,18,SHF
HL,3,0.00031609999132342637,9,9,18,THF
HL,3,0.001520999998319894,15,18,35,FHF
HL,3,0.0004715999966720119,9,9,18,SHF
HL,3,0.0006766000005882233,9,9,18,THF
HL,3,0.0005823999963467941,15,18,35,FHF
HL,3,0.001130899996496737,9,9,18,SHF
HL,3,0.00037190000875853,9,9,18,THF
HL,3,0.0008991999930003658,15,18,35,FHF
HL,3,0.0004990000015823171,9,9,18,SHF
HL,3,0.00048580000293441117,9,9,18,THF
HL,3,0.0006705999985570088,15,18,35,FHF
HL,3,0.0007186000002548099,9,9,18,SHF
HL,3,0.0005894999922020361,9,9,18,THF
