method,diskCount,executionTime,solutionHeight,expandedNodes,frontierNodes,heuristic
BPPV,3,0.0004445999948075041,7,18,36,None
BPPV,3,0.0004981000092811882,7,18,36,None
BPPV,3,0.0004498999915085733,7,21,42,None
BPPV,5,0.005554800009122118,31,211,422,None
BPA,5,0.003993999998783693,31,206,411,None
BPP,5,0.0024916999973356724,121,121,241,None
BPPV,7,1.2600211999961175,500,36194,72388,None
Aestrella,7,0.15618849999736995,127,1784,3567,FHF
BPA,7,0.060727999996743165,127,2038,4075,None
BPA,7,0.07413039999664761,127,2038,4075,None
Aestrella,7,0.10044780001044273,127,1784,3567,FHF
Aestrella,7,0.00133050000295043,128,24,47,SHF
Aestrella,7,0.09031619998859242,127,1784,3567,FHF
Aestrella,7,0.002092900002025999,128,24,47,SHF
Aestrella,7,0.08813250000821427,127,1784,3567,FHF
Aestrella,7,0.002410000000963919,128,24,47,SHF
Aestrella,7,0.025138799988781102,0,379,758,THF
BPA,7,0.055639500002143905,127,2038,4075,None
BPP,7,0.07095049999770708,1093,1093,2185,None
BPPV,7,0.30035720000159927,127,8076,16151,None
BPPVO,7,0.35060629999497905,127,8076,16151,None
HG,7,1.5900004655122757e-05,0,0,1,FHF
HG,7,2.8700000257231295e-05,0,0,1,SHF
HG,7,1.8300008377991617e-05,0,0,1,THF
HL,7,0.03864650000468828,718,1016,2031,FHF
Aestrella,7,0.10669570000027306,127,1784,3567,FHF
Aestrella,7,0.001436000005924143,128,24,47,SHF
Aestrella,7,0.02102460000605788,0,379,758,THF
BPA,7,0.04988359998969827,127,2038,4075,None
BPP,7,0.07239480000862386,1093,1093,2185,None
BPPV,7,0.3195335999917006,127,8076,16151,None
BPPVO,7,0.33869899999990594,127,8076,16151,None
HG,7,0.00012129999231547117,0,0,1,FHF
HG,7,1.650000922381878e-05,0,0,1,SHF
HG,7,1.170000177808106e-05,0,0,1,THF
HL,7,0.0294041000015568,718,1016,2031,FHF
HL,7,1.85999961104244e-05,0,0,1,SHF
HL,7,1.8600010662339628e-05,0,0,1,THF
Aestrella,7,0.09045350000087637,127,1784,3567,FHF
Aestrella,7,0.001242899990756996,128,24,47,SHF
Aestrella,7,0.019748899998376146,0,379,758,THF
BPA,7,0.0584963000001153,127,2038,4075,None
BPP,7,0.07807509999838658,1093,1093,2185,None
BPPV,7,0.3120755999989342,127,8076,16151,None
BPPVO,7,0.3489745999977458,127,8076,16151,None
HG,7,1.3600001693703234e-05,0,0,1,FHF
HG,7,1.920000067912042e-05,0,0,1,SHF
HG,7,1.2100004823878407e-05,0,0,1,THF
HL,7,0.031048000004375353,718,1016,2031,FHF
HL,7,1.1800002539530396e-05,0,0,1,SHF
HL,7,1.1099997209385037e-05,0,0,1,THF
BPA,7,0.07335679999960121,127,2038,4075,None
BPA,7,0.08642050001071766,127,2038,4075,None
Aestrella,7,0.09184100000129547,127,1784,3567,FHF
Aestrella,7,0.08198129999800585,127,1745,3489,SHF
Aestrella,7,0.12558729999000207,135,1807,3613,THF
BPA,7,0.0506667000008747,127,2038,4075,None
BPP,7,0.08116439999139402,1093,1093,2185,None
BPPV,7,0.2838671999925282,127,8076,16151,None
BPPVO,7,0.3002297000057297,127,8076,16151,None
HG,7,0.01566140000068117,386,438,875,FHF
HG,7,0.04278490001161117,668,1004,2007,SHF
HG,7,0.2282612999988487,691,1942,3882,THF
HL,7,0.033414100005757064,718,1016,2031,FHF
HL,7,0.05002969999623019,559,605,1209,SHF
HL,7,0.06803779999609105,547,609,1217,THF
