method,diskCount,executionTime,solutionHeight,expandedNodes,frontierNodes,heuristic
Aestrella,11,8.938242400006857,2047,168612,337223,FHF
Aestrella,11,9.720528300007572,2047,167545,335089,SHF
Aestrella,11,10.837778100001742,2079,172982,345962,THF
BPA,11,8.16068250000535,2047,174758,349515,None
BPP,11,2.184318500003428,88573,88573,177145,None
BPPV,11,31.86710510001285,2050,649847,1299694,None
Aestrella,11,8.894264200003818,2047,168612,337223,FHF
Aestrella,11,9.733515100000659,2047,167545,335089,SHF
Aestrella,11,10.793805900000734,2079,172982,345962,THF
BPA,11,8.186994000003324,2047,174758,349515,None
BPP,11,2.180080199992517,88573,88573,177145,None
BPPV,11,31.903274299998884,2050,649847,1299694,None
Aestrella,11,9.70338529998844,2047,168612,337223,FHF
Aestrella,11,9.933764100002008,2047,167545,335089,SHF
Aestrella,11,10.749081899994053,2079,172982,345962,THF
BPA,11,8.146691400004784,2047,174758,349515,None
BPP,11,2.18385390000185,88573,88573,177145,None
BPPV,11,32.91452120000031,2050,649847,1299694,None
